State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Arkansas,2001,947.059287291076,843.668083794083,1094.65591936956,1058.95501040299
Arkansas,2002,939.952635390367,901.481851920091,1112.07362896033,1081.81790018278
Arkansas,2003,971.901275802474,820.828075813078,1082.86179717668,1055.10016450439
Arkansas,2004,932.93730834589,816.084439845702,1051.67158490047,1042.4172887356
Arkansas,2005,945.589314126199,843.816594486836,1075.55201230016,1030.55209508367
Arkansas,2006,940.142542268977,822.168988258954,1056.77788965722,1006.04963885178
Arkansas,2007,901.001318991622,811.785802777626,1052.81742815097,1023.25344731084
Arkansas,2008,952.34157501585,779.805650994387,1085.22984662511,1062.10766540873
Arkansas,2009,893.429541827507,783.842686611521,1075.26605139602,1009.73339825612
Arkansas,2010,858.848710149825,754.068160884249,1090.01004641135,1017.97588728417
Arkansas,2011,887.593738721277,753.570022765363,1099.15894349954,1044.98508109826
Arkansas,2012,858.062685137556,764.736521215988,1121.12795544556,1060.7587768502
Arkansas,2013,888.000105714298,738.447453380234,1134.30008298727,1067.05193832247
Arkansas,2014,897.721102138766,718.616483415467,1138.01414003643,1060.88025656662
Arkansas,2015,899.765826276985,742.712948796916,1187.5451596053,1093.89333226024
Arkansas,2016,927.717503973464,788.344358299547,1188.6149562624,1081.79291954611
California,1999,750.560539029311,690.322535075307,729.69823899,750.989794779191
California,2000,750.335260490311,666.734226157996,722.748887628266,741.974850299671
California,2001,764.398516764731,680.531778713429,722.947903595273,745.422282181933
California,2002,773.790733863893,686.556654318342,720.604500903466,734.768620799297
California,2003,774.288423028638,688.332599152401,731.025392513431,740.662213440118
California,2004,762.478159603439,674.64014410845,704.337844467729,710.725496491707
California,2005,781.53421369294,681.885048718437,716.209529360652,717.841018763849
California,2006,758.111772770611,675.776997339779,717.64826252955,712.9275095031
California,2007,746.125840717351,671.998015315547,703.814447185939,696.398123161508
California,2008,715.107220413628,660.702302076652,700.009874747449,696.525805501061
California,2009,707.00022806459,641.160603395217,694.53366180281,679.600686682681
California,2010,678.687354586951,631.319552307985,690.884959054763,681.660184826383
