State,Year,black_male_mortality,black_male_mortality_weighted,black_female_mortality,black_female_mortality_weighted,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_female_mortality,hispanic_female_mortality_weighted,white_female_mortality,white_female_mortality_weighted,white_male_mortality,white_male_mortality_weighted
Alabama,1995,134.613295569345,16.1646576677261,120.214534560632,16.7416606860665,,,,,359.689889301674,134.526286520954,369.343339735626,131.241439229451
Alabama,1996,129.550444959057,15.5996978405053,120.090839895261,16.7544024916383,,,,,364.125578333721,135.899266315286,372.616150683664,132.323374245585
Alabama,1997,126.667719180229,15.3222353636435,120.261114886432,16.8617447985391,,,,,368.0822974083,136.969880090751,372.864369899027,132.229926468092
Alabama,1998,124.126723585302,15.0495132779892,122.334689381494,17.1864443346121,,,,,373.559737573604,138.661278545819,374.67125245951,132.932033639404
Alabama,1999,125.865068403015,15.3191948411504,124.239837964525,17.4848685346431,1.12863224895099,0.0094470900713094,0.835187864223735,0.0052977126851157,384.773306312372,142.497517934754,374.186735817212,132.662544443654
Alabama,2000,123.496211013919,15.0414558301392,121.92215151447,17.1619321366796,1.28173416383711,0.0124279591519543,0.697083492613164,0.00512729667499642,387.533448764363,143.191478673108,378.111578331947,133.916593335965
Alabama,2001,124.092528618056,15.1816926155992,124.361127164848,17.561769717356,1.70112412968475,0.0185387459281783,1.25345988503087,0.0103904288897061,392.288177590197,144.489517279157,371.404640577093,131.356249038202
Alabama,2002,124.506455117298,15.2633266348407,126.046603092037,17.8198783967943,2.29906146953777,0.0273911310686123,1.58478994502118,0.0144336829305622,395.438572760497,145.324760496645,379.70227823599,134.187085782417
Alabama,2003,124.792077967959,15.3321790327142,124.325773050285,17.5819383312131,2.13167962365196,0.0277116538184942,1.24347978046364,0.0124050022742113,402.709808901583,147.625385821252,382.39223748865,135.087513367656
Alabama,2004,120.9518379934,14.8781261025861,123.931490936668,17.5575007646655,2.91343843341767,0.041085732964023,1.39050470685843,0.0151583592787043,390.555250600952,142.88220715162,379.541570462502,133.888092822644
Alabama,2005,123.92213672137,15.2755601152,122.215280520722,17.3193395754999,3.6763056629331,0.0565314439543858,1.99133223408876,0.0237710722233829,399.820123615778,145.964807551206,381.416712529309,134.438101543047
Alabama,2006,123.504503474955,15.2848456173685,120.069622234354,17.0586717337815,3.80213269399896,0.0636385495783308,1.46900581359051,0.0191564983592668,388.011962027928,141.244813192182,379.133118066374,133.430997874718
Alabama,2007,120.098270002825,14.8820036357666,116.160621806011,16.5268193124336,3.63804452966504,0.0656123904814891,1.99022436034617,0.0282708422215821,379.319642872429,137.796697838899,380.432456493267,133.771812377684
Alabama,2008,119.388598123948,14.8299316828245,116.548535608661,16.6268815764427,3.92098183080603,0.0759979086176423,1.97108816359438,0.0301870794986837,390.847707794022,141.663433887399,380.14448712074,133.45679491095
