State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Alaska,1994,305.254742350462,179.240671337787,424.406902695747,321.573335939427
Alaska,1995,315.336102138133,247.123988069876,474.825151645729,327.311784150147
Alaska,1996,393.548884944826,218.474176352355,453.855280734798,344.981645502572
Alaska,1997,256.681262267854,218.487394957983,452.129208295552,339.664558298372
Alaska,1998,285.839929639402,243.30900243309,448.606794489255,342.600111310822
Arizona,1980,841.450354429089,615.739849913412,937.715531946202,664.569591022456
Arizona,1981,836.860100901418,521.70768873163,910.120797851351,645.990945018256
Arizona,1982,700.746697300402,452.128980970835,903.984111559769,659.860548419436
Arizona,1983,803.585226394684,576.66539050536,894.587530522153,670.669438718175
Arizona,1984,704.81978559973,534.84491783045,923.408054450317,688.013152608018
Arizona,1985,668.532651376332,496.202311258134,906.709126642227,689.339933406232
Arizona,1986,707.316605647032,487.175216522318,901.24424600645,692.284492629381
Arizona,1987,685.156763867573,514.769937435654,914.852976360905,709.217148805715
Arizona,1988,737.390447361937,585.620815290998,909.651704427175,709.160019777816
Arizona,1989,743.488099086377,597.543432555052,892.860477943694,720.388369563303
Arizona,1990,692.430212088189,537.986186841149,903.694187813641,728.909709151913
Arizona,1991,696.136442742778,552.495609024095,897.112402625339,729.259650925765
Arizona,1992,730.258772195625,530.737171138317,919.113177641184,732.078271878372
Arizona,1993,661.963243619894,530.797129648367,936.482152804846,775.957401332602
Arizona,1994,741.641171328671,517.286728819008,915.233703465133,770.508878867886
Arizona,1995,692.35827284331,517.797560536627,898.768220413398,767.886760123277
Arizona,1996,599.91674624746,537.385954025113,897.098666061863,773.163456447271
Arizona,1997,610.643994551177,516.989520482693,864.118004103404,774.191900244912
Arizona,1998,588.480190834112,518.236041850005,868.189260728593,773.807282449072
Arkansas,1980,1280.98277180925,958.031025774642,1136.14564513629,828.380500723678
Arkansas,1981,1219.87977501891,821.040982258137,1130.70851811972,830.636428550208
Arkansas,1982,1207.70058591415,823.166176983218,1121.51497159103,845.886312142492
Arkansas,1983,1176.16904938201,900.318022784168,1161.6615057625,862.914037393281
Arkansas,1984,1220.79562197432,889.481987121611,1161.96772145325,888.049708938952
Arkansas,1985,1198.56195319522,927.680600065483,1175.21401720674,919.14394582058
Arkansas,1986,1211.54252977399,914.543175986155,1163.49141115921,909.076298120774
Arkansas,1987,1230.32593346407,914.164072058809,1171.02096503568,934.681262794268
Arkansas,1988,1245.72782907881,967.159367366332,1173.68056306149,966.562434438595
Arkansas,1989,1245.06755092807,932.83396747499,1154.67188408863,961.235329563548
Arkansas,1990,1256.25832529512,953.94573064476,1142.66476134591,963.319194695024
Arkansas,1991,1226.2626947278,955.759333127266,1142.84585563735,972.37777860887
Arkansas,1992,1177.07721138599,915.879268263213,1127.12856736756,964.124906398001
Arkansas,1993,1186.0351296971,950.221512368566,1167.3348160158,1028.46525170485
Arkansas,1994,1135.3997788252,883.512620601823,1150.40100713453,1005.64608017037
Arkansas,1995,1151.38795641854,918.315787521845,1137.77989453723,1005.77586230955
Arkansas,1996,1052.23347045353,851.52040909506,1113.84341373484,1010.98969796258
Arkansas,1997,1058.62859013174,895.124486015092,1136.53105665926,1069.78422116101
Arkansas,1998,1051.65762477058,887.946991442444,1101.95455554845,1052.25754360522
California,1980,865.301317221618,618.701004856505,888.582072599973,767.832703761556
California,1981,839.55920705771,611.709632110018,858.621179504551,750.777406811401
California,1982,828.269335193455,620.928952204099,857.163492567883,754.085232729861
California,1983,800.590912340061,607.041967208518,831.292774934543,748.178071488032
California,1984,836.444258387305,629.57670132558,844.843998551723,765.235415114836
California,1985,844.385191670564,646.164451466989,849.886469155288,774.554654545537
California,1986,880.583359823845,643.865617670703,834.637319826654,762.755676499212
California,1987,890.659503610807,679.872426768913,833.686552261716,771.787717840604
California,1988,876.671428150679,697.894926183669,831.92078458987,781.37192243731
California,1989,886.218624467656,689.133926043777,814.399621062604,765.959257151337
California,1990,862.706867076273,665.27561480299,800.065709914802,739.890190913356
California,1991,860.996647129585,640.556553263624,786.778787455538,727.63884044972
California,1992,843.519432472506,646.806049086852,777.236199715509,717.512178676035
California,1993,875.65762636309,661.51525645718,788.64464414395,735.882516990461
California,1994,871.930709720821,664.935608905294,788.612088184765,743.091330290749
California,1995,853.132593615542,660.363676657264,783.93008215391,739.881816555914
California,1996,812.313418498862,679.792012261964,759.025298735083,745.361629354115
California,1997,768.631093565991,661.066310935917,746.340979379733,748.563965765762
California,1998,769.687226726105,668.249111066625,738.333580644302,748.367412474391
Colorado,1980,609.059763989342,536.551311459061,728.535279232625,602.860983645007
Colorado,1981,621.184919210054,450.024581174602,718.3305106738,608.153400139985
Colorado,1982,564.01967190563,422.306442880347,712.293316768697,597.785709532672
Colorado,1983,604.409214763438,424.565903025682,689.89782707463,584.440742449239
Colorado,1984,523.889354568315,491.894724386822,685.314126571513,629.692950735982
Colorado,1985,537.391548154956,545.13309105196,681.704025663521,607.447154600042
Colorado,1986,633.507535245503,440.338869477816,687.256658941818,628.591460678861
Colorado,1987,550.095895095226,519.318004066948,699.053637778272,629.534152536913
Colorado,1988,567.804734164147,509.879891514917,702.361253346864,640.976815856853
Colorado,1989,605.672354551278,502.198070582489,699.196667658435,624.814622752027
Colorado,1990,595.957851096908,477.776605525328,702.222485745062,645.637300562173
Colorado,1991,605.295304500597,521.651415808055,710.905633072288,658.764435293888
Colorado,1992,596.718708653083,464.178155997016,691.718958801814,629.055356380918
Colorado,1993,630.661621373696,531.992517611473,686.833111361787,663.025105590794
Colorado,1994,620.689655172414,509.210916450736,695.714045715528,642.254401500156
Colorado,1995,626.307311326425,529.24087406846,685.527581415943,655.986925439654
Colorado,1996,570.797707413323,487.582648952806,675.442973141235,679.224182657323
Colorado,1997,546.647646219686,539.74955620592,660.424034546417,655.545889023283
Colorado,1998,525.543609170736,519.868051427306,664.02709285187,673.472371423668
Connecticut,1980,744.802200856954,486.198778532192,971.597347136943,841.638217875842
Connecticut,1981,752.644046930667,506.228267454502,944.736754878606,821.332012021069
Connecticut,1982,723.025583982202,469.754476077469,945.020584785046,827.489245196076
Connecticut,1983,756.534310116984,472.390933269819,940.056954917375,845.342279236205
Connecticut,1984,749.513723795116,578.066077996245,942.514065616225,866.14772586144
Connecticut,1985,749.736453721274,546.435663074288,947.81611514758,875.416845374055
Connecticut,1986,814.583675480374,559.284116331096,925.660292565181,874.574891647495
Connecticut,1987,813.417391790717,512.561362980075,928.341692719462,879.43122020422
Connecticut,1988,825.376650753302,563.872816133925,919.286916382507,885.077908547427
Connecticut,1989,835.077802044996,536.211412663366,909.775528624082,869.517203662121
Connecticut,1990,756.837209302326,560.163448658449,879.642909614994,862.581404513708
Connecticut,1991,762.382427120982,525.181881879915,897.962211544249,869.918399481801
Connecticut,1992,810.005871658284,552.450614263271,904.433537700077,878.814139231109
Connecticut,1993,807.818130260674,547.008117097462,914.220980713617,918.210514138393
Connecticut,1994,862.608506353915,601.19744166032,918.069301877322,919.446414020086
Connecticut,1995,776.288881713486,555.528512668241,927.069891735076,933.528160439725
Connecticut,1996,734.095155104008,538.623226484498,915.163364780869,950.657213878696
Connecticut,1997,628.197655592254,527.579341843307,912.839688853196,953.829569840918
Connecticut,1998,664.631993139283,567.017977502375,902.717136463314,968.545538076454
Delaware,1980,1034.14205730596,671.258805393487,916.075897453066,800.333833295935
Delaware,1981,928.738445401106,615.885189704259,934.993871292969,822.035433784199
Delaware,1982,972.682567535365,736.552626012039,935.292278837137,791.99290072799
Delaware,1983,961.865849506299,666.792953210835,898.443634440064,787.410778293801
Delaware,1984,917.064552089687,738.616125827194,896.333998042725,794.999768221642
Delaware,1985,1030.47985598113,702.610753642482,939.043213002386,863.042704149421
Delaware,1986,1010.65449010654,743.777664900951,974.490570864411,852.678605175034
Delaware,1987,902.369216091588,737.245125100169,951.116399468888,861.048567470586
Delaware,1988,996.43300248139,729.291768924164,945.713631548107,876.615132099497
Delaware,1989,1015.35319921343,759.532386325019,925.536390408077,879.088944185117
Delaware,1990,943.396226415094,744.723483836495,900.3858255493,865.973887556621
Delaware,1991,903.956808979186,759.05270222762,909.745523651157,869.193300955088
Delaware,1992,893.348939686037,676.337515742339,889.04524749246,884.414808708622
Delaware,1993,998.385942725926,704.480313772817,915.913361112418,871.71296599733
Delaware,1994,919.562481850741,678.990713159278,977.71258898866,866.698551516808
Delaware,1995,941.910331384016,712.515489467162,898.509435762938,875.234347290017
Delaware,1996,943.339178811151,738.33914559721,924.341218758422,887.252756797205
Delaware,1997,740.708210735878,668.15730632645,933.298638216671,916.60944077867
Delaware,1998,799.434029006014,663.773295889711,932.613276590479,899.74293059126
District of Columbia,1980,1308.83415215197,886.430448988282,1142.10017543232,1271.50179771276
District of Columbia,1981,1345.52446805411,900.071342060292,1081.66513692184,1084.20672208168
District of Columbia,1982,1308.41397942231,895.125653001501,1013.32846448786,1019.52033410787
District of Columbia,1983,1319.79847807924,923.044442098596,943.353797027143,1079.92017100424
District of Columbia,1984,1370.59997687175,911.572770850051,918.421284468329,1021.15537009359
District of Columbia,1985,1443.66179378138,973.513942049494,894.132929205456,970.487630260122
District of Columbia,1986,1505.34153447718,1021.92580597047,931.739494107806,975.470509488936
District of Columbia,1987,1551.95956549208,1048.93604236946,946.002511511093,977.519029168224
District of Columbia,1988,1665.37447666305,1112.4437259912,936.800016747263,926.715166412274
District of Columbia,1989,1752.22758541259,1107.54907557859,915.023110869429,874.073482108964
District of Columbia,1990,1681.1512384716,1114.93955447814,946.88468526237,852.013804262117
District of Columbia,1991,1670.09010489415,1098.35727541412,925.885911840968,774.329300368227
District of Columbia,1992,1698.69377824505,1121.11676020893,938.506029355596,756.707420614705
District of Columbia,1993,1794.29973785487,1099.16814655575,866.191366343521,836.311348882451
District of Columbia,1994,1787.99706829842,1180.22890442003,917.659266304935,736.819817912344
District of Columbia,1995,1729.73978343379,1167.56999799622,847.421172624425,755.739492151529
District of Columbia,1996,1717.44092935426,1163.03405387628,741.136266552755,722.151630664973
District of Columbia,1997,1504.06947830622,1170.56856187291,663.264230128435,702.845100105374
District of Columbia,1998,1491.22429268353,1195.9232465632,605.599449644562,711.910693253005
Florida,1980,1043.74515559678,707.358668978094,1319.36431808665,924.017093345329
Florida,1981,1009.75018595562,703.206600506859,1298.16386369709,945.091598186424
Florida,1982,942.627483164248,635.145601399375,1259.8752888769,926.298102160111
Florida,1983,964.725748952405,673.467047529225,1270.27931527379,945.141504956089
Florida,1984,959.041848213826,678.04385607826,1252.71857329274,941.159440852507
Florida,1985,951.402851769756,695.733865196338,1274.76076834063,971.537671691662
Florida,1986,978.257426996896,697.71489967047,1252.55414198512,970.839960791916
Florida,1987,1012.95708358594,707.619539866457,1246.67020334841,974.975570153003
Florida,1988,1009.42838472788,715.988559600153,1242.61911975409,987.463638738613
Florida,1989,998.107932426849,710.952999026258,1222.94212943011,976.336771135472
Florida,1990,967.158314310551,696.987468860468,1208.34228794464,973.026217326525
Florida,1991,912.027509897017,665.884360341381,1193.34317049173,962.473026809706
Florida,1992,882.393195183694,659.512198992186,1187.5764753025,985.562065014954
