State,Year,black_male_mortality,black_male_mortality_weighted,black_female_mortality,black_female_mortality_weighted,hispanic_male_mortality,hispanic_male_mortality_weighted,hispanic_female_mortality,hispanic_female_mortality_weighted,white_female_mortality,white_female_mortality_weighted,white_male_mortality,white_male_mortality_weighted
Alabama,1980,145.249616673897,1218.2107663841,121.725438205164,887.056822111924,,,,,286.369034074657,754.622850815463,357.96770594623,996.031292827775
Alabama,1981,136.552743465277,1149.55611199636,114.895116115749,837.314792437397,,,,,291.931551693746,769.108763968827,359.480900600164,1001.00939138885
Alabama,1982,131.561385294265,1110.30617794564,112.610432601344,820.874460610652,,,,,290.861463441473,766.097164655542,356.043570889299,992.030682122227
Alabama,1983,133.762498608229,1131.90500774393,117.290035837775,856.85474510707,,,,,299.732729207456,789.500995999264,352.531039661521,981.686464859829
Alabama,1984,135.08248153021,1147.22465748715,118.586175488311,867.490662491162,,,,,309.963566440644,816.262078026953,360.439226798907,1003.4669833582
Alabama,1985,138.043799088146,1177.21532568694,122.241483042328,896.149582085863,,,,,319.845922385969,841.400255246589,365.592117563192,1018.14068967837
Alabama,1986,132.501511333625,1133.25065808215,121.20720371475,889.714059871874,,,,,318.11882412985,837.04643785772,372.086081155736,1035.88507239274
Alabama,1987,130.165904896991,1114.72334438321,119.312522886074,875.985780994417,,,,,319.552442371902,841.140601595395,368.915416059172,1027.42005257729
Alabama,1988,138.836293113188,1189.62255920984,122.397440306726,897.619641644161,,,,,336.152190998611,885.800623207885,372.580887474563,1038.23132546794
Alabama,1989,136.35755319729,1168.54486218307,122.404572017705,896.412534892754,,,,,335.937228932981,885.914707752718,371.079906220105,1035.26597270958
Alabama,1990,137.598695038113,1181.65503913011,124.689543562575,912.230804163478,,,,,337.195939404146,889.292101312122,373.079423678104,1041.5774865712
Alabama,1991,136.629374779202,1168.40064216167,122.805524761392,895.821810246551,,,,,340.330021867039,899.117693662312,375.852684082117,1050.80265481719
