State,Year,black_male_mortality,black_female_mortality,hispanic_male_mortality,hispanic_female_mortality,white_male_mortality,white_female_mrtality
Alabama,2012,117.089842938895,112.916220234387,3.13540810139619,2.18025066653378,395.227535112418,394.334670553742
Alabama,2013,122.476979400884,114.46369266747,3.87205327945313,2.48474007237634,409.133159084034,389.338063174102
Alabama,2014,117.174256599027,116.554833216125,3.79913008180105,2.64287310038334,406.279796845648,392.900251774958
Alabama,2015,126.414462671577,116.463650176405,4.22342973397543,2.67827251422832,419.808915557158,402.81218613994
Alabama,2016,127.444327925483,119.569016922666,3.76287705878724,2.6525198938992,421.25717105669,403.964386322045
Alaska,1980,8.67208134907853,2.97328503396978,,,197.47568100616,88.455229760601
Alaska,1981,7.14012009682003,3.33205604518268,,,180.169030443092,97.5816413232071
Alaska,1982,5.53498999273809,5.31359039302857,,,181.3262721621,89.6668378823571
Alaska,1983,6.32509778397139,5.91702695919904,,,179.143092075061,94.6724313471846
Alaska,1984,7.7667791555181,2.71837270443134,,,168.927446632519,88.3471128940184
Alaska,1985,7.68638067081481,4.68681748220415,,,176.599282729453,93.5488769447949
Alaska,1986,6.24870201594154,3.49192171479086,,,173.677158972493,102.184656495985
Alaska,1987,5.9394105877418,4.26895135993942,,,172.799726787113,93.1745035951995
Alaska,1988,5.90946696607966,3.69341685379979,,,171.00520033093,95.6594965134145
Alaska,1989,5.48003258792712,4.5666938232726,,,167.68899719057,96.2659057945865
Alaska,1990,5.45472397278456,5.27289984035841,,,177.824001512777,98.003207377696
Alaska,1991,5.25909823995512,3.33076221863824,,,169.16766005189,98.520440361826
Alaska,1992,5.59901864473209,4.9203497180979,,,167.12222318367,103.327344080056
Alaska,1993,8.00154696574671,5.33436464383114,,,172.533356448913,103.853411659588
Alaska,1994,6.95458654982961,3.64287866895837,,,170.387370470826,114.419507284101
Alaska,1995,6.77609789312937,4.79284972928663,,,189.400199646982,116.846370986402
Alaska,1996,8.37120895029964,4.10353379916649,,,179.570639051526,122.941872623028
Alaska,1997,5.54170130229981,4.23777158411162,,,177.17145045882,120.613498932408
Alaska,1998,6.28522343969328,4.83478726130252,,,174.696979708398,121.03084110794
Alaska,1999,5.92209405245695,5.4419242644199,4.00141490030875,3.04107532423465,178.303047957758,127.725163617855
Alaska,2000,6.8587980833647,6.8587980833647,5.10422182948071,3.03063171125417,188.537193826444,143.077718157631
Alaska,2001,8.20559432172873,4.73399672407427,4.26059705166684,3.47159759765446,195.198464922662,140.284102923401
Alaska,2002,7.47271292172178,6.22726076810148,4.82612709527865,3.73635646086089,196.625758752804,138.867915128663
Alaska,2003,6.47734317889497,6.16889826561425,4.47245124257033,4.31822878592998,201.568750828946,145.277554155216
Alaska,2004,9.10075445254412,5.61213191240221,4.24701874452059,2.5785470948875,191.267522744302,136.359637547286
Alaska,2005,7.64679599247915,4.79798964233986,3.89836658440114,3.14868070278553,189.670528048748,140.191259862118
Alaska,2006,6.51560338929842,5.03478443718514,5.03478443718514,4.59053875155116,199.318230954447,155.04174428626
Alaska,2007,8.81963839482581,5.29178303689549,5.43877701014258,3.52785535793033,205.791562545936,153.608702043216
Alaska,2008,8.436915870857,6.2549548697733,5.52763453607873,4.2184579354285,206.849902902735,153.173662276076
Alaska,2009,8.01264853804935,4.86482232667282,3.72015824980863,2.86166019216048,206.754948883595,155.67431445353
Alaska,2010,8.44795566512867,5.63197044341911,5.77276970450459,3.09758374388051,215.845267244038,154.456789410769
Alaska,2011,8.44041825731653,5.94980303384608,6.6416405959212,4.28939288486578,219.865977227475,153.726306293093
Alaska,2012,10.3954511694199,6.70233035923123,6.01841909808519,3.82990306241785,215.021700504316,158.804194838111
Alaska,2013,10.7208917610625,6.6496670416717,5.83542209779353,3.25697977551267,215.910617618361,160.813376415938
